;L, μμ;vt18u,nacro2,200,2000.csv;Result;fail;Predict
280;946,6666666666666;527,64;438,4199610328198;7960,215353305151;446,4438398690874
281;950,0;501,648;438,49490678019316;3988,3131832296153;446,5045993454256
282;953,3333333333334;489,768;438,5698525275666;2621,250304609038;446,56535882176377
283;956,6666666666666;442,512;438,64479827493994;14,955249182307474;446,6261182981019
284;960,0;406,248;438,7197440223133;1054,4141598506405;446,68687777444006
285;963,3333333333334;388,68;438,7946897696867;2511,482130711943;446,74763725077827
286;966,6666666666666;404,064;438,8696355170601;1211,4322637464334;446,8083967271164
287;970,0;393,048;438,9445812644335;2106,496171762749;446,86915620345457
288;973,3333333333334;439,248;439,0195270118069;0,05219990633389284;446,92991567979277
289;976,6666666666666;456,432;439,09447275918023;300,589850826168;446,9906751561309
290;980,0;451,584;439,16941850655365;154,12183365742058;447,05143463246907
291;983,3333333333334;461,232;439,244364253927;483,4561257019876;447,1121941088073
292;986,6666666666666;480,864;439,3193100013004;1725,9612670880501;447,1729535851454
293;990,0;477,264;439,3942557486738;1434,1175296608546;447,23371306148357
294;993,3333333333334;471,024;439,46920149604716;995,7053086250643;447,2944725378218
295;996,6666666666666;489,792;439,5441472434205;2524,846706646889;447,3552320141599
296;1000,0;467,688;439,61909299079394;787,8635406914561;447,4159914904981
297;1003,3333333333334;430,008;439,6940387381673;93,81934643727809;447,4767509668362
298;1006,6666666666666;442,728;439,76898448554067;8,755772814811062;447,5375104431744
299;1010,0;454,896;439,8439302329141;226,56480427322214;447,5982699195126
300;1013,3333333333334;441,552;439,91887598028745;2,6670940637621365;447,6590293958507
301;1016,6666666666666;476,16;439,9938217276608;1307,9924508266208;447,71978887218893
302;1020,0;471,336;440,06876747503424;977,6398297702777;447,7805483485271
303;1023,3333333333334;458,64;440,1437132224076;342,112624558939;447,8413078248652
304;1026,6666666666667;483,192;440,218658969781;1846,7080392995028;447,90206730120343
305;1030,0;463,968;440,2936047171544;560,4769920084237;447,9628267775416
306;1033,3333333333333;451,104;440,36855046452774;115,24987672867117;448,0235862538797
307;1036,6666666666667;499,632;440,44349621190116;3503,278980673791;448,08434573021793
308;1040,0;514,0799999999999;440,5184419592745;5411,302821379012;448,1451052065561
